row_ref,field_key,issue_type,severity,details,original,suggestion,human_decision,notes
ROW:2|KEY:GENfundarrearslegalinsolvent,GENfundarrearslegalinsolvent,Complex Sentence,Medium,Multiple clauses,"Please confirm if the customer structure has tax arrears or legal proceeding outstanding or has ever been insolvent, bankrupt or had any court proceedings for debt?",Please confirm if the customer structure has tax arrears or legal proceeding outstanding or has ever been insolvent,,
ROW:2|KEY:Please_refer_to_wwwrbsinternationalcomtaxresidency_for_more_information_on_Foreign_Account_Tax_Compliance_Act_FATCA_or_Common_Reporting_Standard_CRS_the_options_below_and_how_to_contact_us_if_necessary_If_you_have_any_further_questions_about_your_classification_please_contact_your_tax_advisor,Please_refer_to_wwwrbsinternationalcomtaxresidency_for_more_information_on_Foreign_Account_Tax_Compliance_Act_FATCA_or_Common_Reporting_Standard_CRS_the_options_below_and_how_to_contact_us_if_necessary_If_you_have_any_further_questions_about_your_classification_please_contact_your_tax_advisor,Complex Sentence,Medium,Multiple clauses,"Please refer to: www.rbsinternational.com/taxresidency for more information on Foreign Account Tax Compliance Act (FATCA) or Common Reporting Standard (CRS), the options below and how to contact us if necessary. If you have any further questions about your classification, please contact your tax advisor",Please refer to: www.rbsinternational.com/taxresidency for more information on Foreign Account Tax Compliance Act (FATCA) or Common Reporting Standard (CRS),,
ROW:2|KEY:We_are_unable_to_open_an_account_for_you_at_this_time_as_we_dont_have_the_required_information_on_the_entitys_tax_status_classification,We_are_unable_to_open_an_account_for_you_at_this_time_as_we_dont_have_the_required_information_on_the_entitys_tax_status_classification,Complex Sentence,Medium,Multiple clauses,"We are unable to open an account for you at this time, as we don’t have the required information on the entity’s tax status
classification.",We are unable to open an account for you at this time,,
ROW:2|KEY:We_are_unable_to_open_an_account_for_you_at_this_time_as_we_dont_have_the_required_information_on_the_entitys_FATCACRS_tax_status,We_are_unable_to_open_an_account_for_you_at_this_time_as_we_dont_have_the_required_information_on_the_entitys_FATCACRS_tax_status,Complex Sentence,Medium,Multiple clauses,"We are unable to open an account for you at this time, as we don’t have the required information on the entity’s FATCA/CRS tax status.",We are unable to open an account for you at this time,,
ROW:2|KEY:GENFundDescription,GENFundDescription,Complex Sentence,Medium,Multiple clauses,"Please provide a detailed description of the investment activities of the fund, including the type of investments and detail of the asset classes and sectors",Please provide a detailed description of the investment activities of the fund,,
ROW:2|KEY:GENFundSizeExtreme,GENFundSizeExtreme,Complex Sentence,Medium,Multiple clauses,"As you have advised that the fund size is greater than 10 billion, please enter the exact fund size/ targeted fund size",As you have advised that the fund size is greater than 10 billion,,
ROW:2|KEY:GENFundTargetedSizeExtreme,GENFundTargetedSizeExtreme,Complex Sentence,Medium,Multiple clauses,"As you have advised that the fund size is greater than 10 billion, please enter the exact fund size/ targeted fund size",As you have advised that the fund size is greater than 10 billion,,
ROW:2|KEY:GENFundDates,GENFundDates,Complex Sentence,Medium,Multiple clauses,"What is the scheduled launch date and target size of the fund?  If a closed ended fund, what is/was the date of final close?",What is the scheduled launch date and target size of the fund?  If a closed ended fund,,
ROW:2|KEY:GENInvestmentCountrydontknowpercentage,GENInvestmentCountrydontknowpercentage,Complex Sentence,Medium,Multiple clauses,"When will you know the percentage investment in this country, so that you can come back to us with this information?	",When will you know the percentage investment in this country,,
ROW:2|KEY:GENInvestorCountryComplex,GENInvestorCountryComplex,Complex Sentence,Medium,Multiple clauses,"Please provide details of the typical investors the fund is targeted at, e.g. institutional, private client, retail etc and where the investors are likely to be based. Please also include the percentage of each type of investor, e.g. 50% institutional, 50% private client.",Please provide details of the typical investors the fund is targeted at,,
ROW:2|KEY:GENaccnamenum,GENaccnamenum,Complex Sentence,Medium,Multiple clauses,"Please provide details of associated existing relationships (where appropriate provide a signed and dated structure/organisation chart including account names and numbers, showing the fund group structure and the jurisdictions of the entities if necessary,  and the ultimate controlling party or parties). If we bank any part of the fund structure please provide details",Please provide details of associated existing relationships (where appropriate provide a signed and dated structure/organisation chart including account names and numbers,,
ROW:2|KEY:GENriskadverse,GENriskadverse,Complex Sentence,Medium,Multiple clauses,"Are there any Reputational, Environmental, Social and Ethical (ESE) or tax risks associated with the application?",Social and Ethical (ESE) or tax risks associated with the application?,,
ROW:2|KEY:GENpepinvestors,GENpepinvestors,Complex Sentence,Medium,Multiple clauses,"Are any of the fund's investors or Ultimate Beneficial Owners (UBOs), who have a holding of 10% or more in the fund, Politically Exposed Persons (PEP)?",Politically Exposed Persons (PEP)?,,
ROW:2|KEY:GENpepinvestpersrelationship,GENpepinvestpersrelationship,Complex Sentence,Medium,Multiple clauses,"Are any of the fund's investors or Ultimate Beneficial Owners (UBOs) one of a group of Politically Exposed Persons (PEPs) sharing a close personal relationship, who individually may have less than 10% ownership, but together have an accumulative ownership of 10% or more?",but together have an accumulative ownership of 10% or more?,,
ROW:2|KEY:GENpepdirectorcontroller,GENpepdirectorcontroller,Complex Sentence,Medium,Multiple clauses,"Are there any Politically Exposed Persons (PEPs) involved in running/operating, controlling or advising the fund?",Are there any Politically Exposed Persons (PEPs) involved in running/operating,,
ROW:2|KEY:GENpeppositioninfluence,GENpeppositioninfluence,Complex Sentence,Medium,Multiple clauses,"Are there any Politially Exposed Persons (PEPs) that are not an owner or controller, who hold a position of significant influence including but not limited to the provider of a loan?",Are there any Politially Exposed Persons (PEPs) that are not an owner or controller,,
ROW:2|KEY:GENCustomerInsolvent,GENCustomerInsolvent,Complex Sentence,Medium,Multiple clauses,"Please confirm if the entity has ever been insolvent, bankrupt or had any court proceedings for debt?",Please confirm if the entity has ever been insolvent,,
ROW:2|KEY:GENUnusualCircumstances,GENUnusualCircumstances,Complex Sentence,Medium,Multiple clauses,"The business relationship is conducted in unusual circumstances, such as: - Complex and unusually large transactions - Unusual patterns of transactions - Where the transactions have no apparent economic or legal purpose - OBT TO COMPLETE",The business relationship is conducted in unusual circumstances,,
ROW:2|KEY:GENAccDesignation,GENAccDesignation,Complex Sentence,Medium,Multiple clauses,"This account will be in the name of your business. Please confirm if you require an additional designation or reference e.g. Office account, Collections account, Rental account?",Rental account?,,
ROW:2|KEY:GENAccCashActivityDetail,GENAccCashActivityDetail,Complex Sentence,Medium,Multiple clauses,"Please provide as much information as possible regarding these cash transactions(e.g. frequency, value, location,etc.)",Please provide as much information as possible regarding these cash transactions(e.g. frequency,,
ROW:2|KEY:GENAccStatFreq,GENAccStatFreq,Complex Sentence,Medium,Multiple clauses,"Statements will be set on an annual default frequency. Should you require these more frequently, please indicate here:",Statements will be set on an annual default frequency. Should you require these more frequently,,
ROW:2|KEY:GENCashMngtAccDesignation,GENCashMngtAccDesignation,Complex Sentence,Medium,Multiple clauses,"This account will be in the name of your business. Please confirm if you require an additional designation or reference e.g. Office account, Collections account, Rental account?",Rental account?,,
ROW:2|KEY:GENCashMngtAccPurpose,GENCashMngtAccPurpose,Complex Sentence,Medium,Multiple clauses,"Please advise what the account is to be used for. For example, a combination of the following: payments of professional fees, dividend receipts/payments, rental income, expenses, trading income, purchases of wholesale goods, cash elements of an investment portfolio.",Please advise what the account is to be used for. For example,,
ROW:2|KEY:GENCashMngtAccStatFreq,GENCashMngtAccStatFreq,Complex Sentence,Medium,Multiple clauses,"Statements will be set on an annual default frequency. Should you require these more frequently, please indicate here:",Statements will be set on an annual default frequency. Should you require these more frequently,,
ROW:2|KEY:GENCurrentAccDesignation,GENCurrentAccDesignation,Complex Sentence,Medium,Multiple clauses,"This account will be in the name of your business. Please confirm if you require an additional designation or reference e.g. Office account, Collections account, Rental account?",Rental account?,,
ROW:2|KEY:GENCurrentAccPurpose,GENCurrentAccPurpose,Complex Sentence,Medium,Multiple clauses,"Please advise what the account is to be used for. For example, a combination of the following: payments of professional fees, dividend receipts/payments, rental income, expenses, trading income, purchases of wholesale goods, cash elements of an investment portfolio.",Please advise what the account is to be used for. For example,,
ROW:2|KEY:GENCurrentAccStatFreq,GENCurrentAccStatFreq,Complex Sentence,Medium,Multiple clauses,"Statements will be set on an annual default frequency. Should you require these more frequently, please indicate here:",Statements will be set on an annual default frequency. Should you require these more frequently,,
ROW:2|KEY:If_you_require_cheque_or_payingin_books_please_request_this_through_your_usual_contact_at_the_bank_once_you_have_received_your_account_number,If_you_require_cheque_or_payingin_books_please_request_this_through_your_usual_contact_at_the_bank_once_you_have_received_your_account_number,Complex Sentence,Medium,Multiple clauses,"If you require cheque or paying-in books, please request this through your usual contact at the bank, once you have received your account number.",If you require cheque or paying-in books,,
ROW:2|KEY:GENintermediarymandate,GENintermediarymandate,Complex Sentence,Medium,Multiple clauses,"Do you require your standard intermediary signatory list to apply to this account, i.e. no other signatories are to be appointed?",Do you require your standard intermediary signatory list to apply to this account,,
ROW:2|KEY:This_section_applies_if_the_intermediary_already_has_electronic_banking_If_not_please_speak_to_your_usual_contact_at_the_Bank_for_further_information,This_section_applies_if_the_intermediary_already_has_electronic_banking_If_not_please_speak_to_your_usual_contact_at_the_Bank_for_further_information,Complex Sentence,Medium,Multiple clauses,"This section applies if the intermediary already has electronic banking. If not, please speak to your usual contact at the Bank for further information.",This section applies if the intermediary already has electronic banking. If not,,
ROW:2|KEY:When_adding_Key_Principals_to_the_structure_please_link_all_directors_shareholders_partners_and_corporate_entities_connected_to_the_businessorganisation_which_may_include_General_Partner_Corporate_Director_Company_Secretary_Beneficial_ownersControlling_persons_etc_For_Limited_Liability_Partnerships_please_identify_all_Managing_Partners_if_corporate_entities_include_their_ownership_For_Limited_Partnerships_please_identify_all_General_Partners_if_corporate_entities_include_their_ownership_and_also_provide_details_of_the_Directors_and_Company_Secretary_of_the_General_Partners_if_a_company_or_MembersPartners_if_a_Limited_Liability_Partnership_For_trusts_please_include_all_named_parties_to_the_trust_if_corporate_entities_include_their_ownership_Please_include_all_individualslegal_entityies_that_have_a_controlling_or_material_interest_in_the_organisationbusiness_Please_ensure_that_details_are_provided_for_every_individuallegal_entity_who_directly_or_indirectly_owns_or_controls_25_or_more_of_the_businessorganisation_and_those_that_hold_a_material_interest_for_High_Risk_applications_this_would_be_10_or_more_Refer_to_glossary_contained_in_wwwrbsinternationalcomtaxresidency_for_definition_on_Controlling_person_Material_Interest_is_defined_as_those_beneficial_ownerscontrolling_persons_who_may_have_effective_control_over_the_capital_or_assets_whilst_not_holding_a_significant_percentage_ownership_In_all_instances_full_ownership_and_control_structure_needs_to_be_keyed_or_your_application_might_be_rejected_and_you_will_be_required_to_apply_again,When_adding_Key_Principals_to_the_structure_please_link_all_directors_shareholders_partners_and_corporate_entities_connected_to_the_businessorganisation_which_may_include_General_Partner_Corporate_Director_Company_Secretary_Beneficial_ownersControlling_persons_etc_For_Limited_Liability_Partnerships_please_identify_all_Managing_Partners_if_corporate_entities_include_their_ownership_For_Limited_Partnerships_please_identify_all_General_Partners_if_corporate_entities_include_their_ownership_and_also_provide_details_of_the_Directors_and_Company_Secretary_of_the_General_Partners_if_a_company_or_MembersPartners_if_a_Limited_Liability_Partnership_For_trusts_please_include_all_named_parties_to_the_trust_if_corporate_entities_include_their_ownership_Please_include_all_individualslegal_entityies_that_have_a_controlling_or_material_interest_in_the_organisationbusiness_Please_ensure_that_details_are_provided_for_every_individuallegal_entity_who_directly_or_indirectly_owns_or_controls_25_or_more_of_the_businessorganisation_and_those_that_hold_a_material_interest_for_High_Risk_applications_this_would_be_10_or_more_Refer_to_glossary_contained_in_wwwrbsinternationalcomtaxresidency_for_definition_on_Controlling_person_Material_Interest_is_defined_as_those_beneficial_ownerscontrolling_persons_who_may_have_effective_control_over_the_capital_or_assets_whilst_not_holding_a_significant_percentage_ownership_In_all_instances_full_ownership_and_control_structure_needs_to_be_keyed_or_your_application_might_be_rejected_and_you_will_be_required_to_apply_again,Complex Sentence,Medium,Multiple clauses,"When adding Key Principals to the structure, please link all directors, shareholders, partners and corporate entities connected to the business/organisation which may include General Partner, Corporate Director, Company Secretary, Beneficial owners/Controlling persons* etc.

For Limited Liability Partnerships, please identify all Managing Partners (if corporate entities include their ownership).

For Limited Partnerships, please identify all General Partners (if corporate entities include their ownership), and also provide details of the Directors and Company Secretary of the General Partner/s (if a company) or Members/Partners (if a Limited Liability Partnership).

For trusts, please include all named parties to the trust (if corporate entities include their ownership).

Please include all individual(s)/legal entity(ies) that have a controlling or material interest** in the organisation/business. Please ensure that details are provided for every individual/legal entity who directly or indirectly owns or controls 25% or more of the business/organisation and those that hold a material interest. (for High Risk applications this would be 10% or more)

*Refer to glossary contained in www.rbsinternational.com/taxresidency for definition on Controlling person.

**Material Interest is defined as those beneficial owners/controlling persons who may have effective control over the capital or assets whilst not holding a significant percentage ownership.

In all instances full ownership and control structure needs to be keyed or your application might be rejected and you will be required to apply again.",When adding Key Principals to the structure,,
ROW:2|KEY:As_the_application_does_not_meet_the_acceptable_definition_of_a_Wholesale_Depositor_this_application_must_be_referred_to_the_Relationship_Director,As_the_application_does_not_meet_the_acceptable_definition_of_a_Wholesale_Depositor_this_application_must_be_referred_to_the_Relationship_Director,Complex Sentence,Medium,Multiple clauses,"As the application does not meet the acceptable definition of a Wholesale Depositor, this application must be referred to the Relationship Director",As the application does not meet the acceptable definition of a Wholesale Depositor,,
ROW:2|KEY:GENRDStatement,GENRDStatement,Complex Sentence,Medium,Multiple clauses,"I confirm I have considered whether there are any potential high risk characteristics or behaviours present, and factored these into the decision whether to accept or retain the relationship and whether an internal suspicion report should be submitted. I have completed the business appetite, reputational and ESE risks and tax assessment of the client. I confirm that nothing fundamental has changed since that prior review which would alter my assessment - RD TO COMPLETE",I confirm I have considered whether there are any potential high risk characteristics or behaviours present,,
ROW:2|KEY:SPETaxAppetite,SPETaxAppetite,Complex Sentence,Medium,Multiple clauses,"Rationale as to how you have come to the decision regarding whether the structure is within tax appetite, and whether the structure requires referral to the Operational Tax team or not - RD TO COMPLETE",Rationale as to how you have come to the decision regarding whether the structure is within tax appetite,,
ROW:2|KEY:SPEAppRFTReasonActivityPurpose,SPEAppRFTReasonActivityPurpose,Complex Sentence,Medium,Multiple clauses,"Reason for application not being completed Right First Time (Account Activity, Turnover, Purpose/ Business Description)",Reason for application not being completed Right First Time (Account Activity,,
ROW:2|KEY:Non_High_Appetite_Jurisdiction_Questionnaire__RD_to_complete_where_Jurisdiction_of_incorporation_of_the_entity_requiring_a_bank_account_is_a_Limited_Low_or_No_Appetite_country,Non_High_Appetite_Jurisdiction_Questionnaire__RD_to_complete_where_Jurisdiction_of_incorporation_of_the_entity_requiring_a_bank_account_is_a_Limited_Low_or_No_Appetite_country,Complex Sentence,Medium,Multiple clauses,"Non High Appetite Jurisdiction Questionnaire - [RD to complete where Jurisdiction of incorporation of the entity requiring a bank account is a 'Limited', 'Low' or 'No Appetite' country]",Non High Appetite Jurisdiction Questionnaire - [RD to complete where Jurisdiction of incorporation of the entity requiring a bank account is a 'Limited',,
ROW:2|KEY:SPENonHighBusAppDirRespCDDInvestors,SPENonHighBusAppDirRespCDDInvestors,Complex Sentence,Medium,Multiple clauses,"If a direct relationship, who is responsible for undertaking CDD on Investors? (Provide commentary on how we get comfortable with this) - RD TO COMPLETE",If a direct relationship,,
ROW:2|KEY:SPENonHighBusAppFullTaxTrans,SPENonHighBusAppFullTaxTrans,Complex Sentence,Medium,Multiple clauses,"Are we satisfied that that there is full tax transparency, CRS and FATCA issues complied with and no exception to tax principles policy. - RD TO COMPLETE",Are we satisfied that that there is full tax transparency,,
ROW:2|KEY:SPENonHighBusAppSupportingRationale,SPENonHighBusAppSupportingRationale,Complex Sentence,Medium,Multiple clauses,"I confirm that this pro-forma, and any supporting commentary explains rationale for on-boarding this relationship. - RD TO COMPLETE",I confirm that this pro-forma,,
ROW:2|KEY:SPEOBCHECKFormComplete,SPEOBCHECKFormComplete,Complex Sentence,Medium,Multiple clauses,"OBT - Check that the Agreement Page has been signed by the highest signing authority, and that the names, dates and positions are completed",OBT - Check that the Agreement Page has been signed by the highest signing authority,,
ROW:2|KEY:SPENASCHECKFormComplete,SPENASCHECKFormComplete,Complex Sentence,Medium,Multiple clauses,"NAS - Check that the Agreement Page has been signed by the highest signing authority, and that the names, dates and positions are completed",NAS - Check that the Agreement Page has been signed by the highest signing authority,,
ROW:2|KEY:SPEOBCHECKCompanyRegistryAndCompanyDocumentsObtained,SPEOBCHECKCompanyRegistryAndCompanyDocumentsObtained,Complex Sentence,Medium,Multiple clauses,"OBT- Companies Registry Search Has a search been completed? Has it confirmed that the entity has not been/ in process of being struck off, dissolved, wound up or terminated. If search not possible need to obtain a certification as per entity guidance. To include the correct Country of Incorporation, Date of Incorporation and Registration Number",OBT- Companies Registry Search Has a search been completed? Has it confirmed that the entity has not been/ in process of being struck off,,
ROW:2|KEY:SPENASCHECKCompanyRegistryAndCompanyDocumentsObtained,SPENASCHECKCompanyRegistryAndCompanyDocumentsObtained,Complex Sentence,Medium,Multiple clauses,"NAS - Companies Registry Search Has a search been completed? Has it confirmed that the entity has not been/ in process of being struck off, dissolved, wound up or terminated. If search not possible need to obtain a certification as per entity guidance.To include the correct Country of Incorporation, Date of Incorporation and Registration Number",NAS - Companies Registry Search Has a search been completed? Has it confirmed that the entity has not been/ in process of being struck off,,
ROW:2|KEY:SPEOBCHECKPepsandDisproportionateCash,SPEOBCHECKPepsandDisproportionateCash,Complex Sentence,Medium,Multiple clauses,"OBT - All PEP,  Disproportionate cash, Nominee Shareholder, Money Service Business, High Risk Trading and Unusual Circumstances questions completed",OBT - All PEP,,
ROW:2|KEY:SPENASCHECKPepsandDisproportionateCash,SPENASCHECKPepsandDisproportionateCash,Complex Sentence,Medium,Multiple clauses,"NAS - All PEP,  Disproportionate cash, Nominee Shareholder, Money Service Business, High Risk Trading and Unusual Circumstances questions completed",NAS - All PEP,,
ROW:2|KEY:SPEOBCHECKScreening,SPEOBCHECKScreening,Complex Sentence,Medium,Multiple clauses,"OBT - Screening checks completed and approval evidence recorded (Where required) OCC Fin Crime, OCC Sanctions Check, Sanctioned Countries list checked if Applicable. Actone and for (High risk customers only) Kritic 
",OBT - Screening checks completed and approval evidence recorded (Where required) OCC Fin Crime,,
ROW:2|KEY:SPENASCHECKScreening,SPENASCHECKScreening,Complex Sentence,Medium,Multiple clauses,"NAS- Screening checks completed and approval evidence recorded (Where required) OCC Fin Crime, OCC Sanctions Check, Sanctioned Countries list checked if Applicable. Actone and for (High risk customers only) Kritic 
",NAS- Screening checks completed and approval evidence recorded (Where required) OCC Fin Crime,,
ROW:2|KEY:SPEOBCHECKExternalCert,SPEOBCHECKExternalCert,Complex Sentence,Medium,Multiple clauses,"OBT - External Certification where applicable independent checks have been carried out and the certifier has put the following on the copy documents:
• Personally sign and date the copy document,
• Provide full name, position, firm work for, location, membership number for professional body.
• Include adequate level of information to contact if req (e.g. phone number). 

Original signature, no copies of copies
Care certification wording in Guernsey and Gibraltar.
Care if certifier is in a different country to customer.","OBT - External Certification where applicable independent checks have been carried out and the certifier has put the following on the copy documents:
• Personally sign and date the copy document",,
ROW:2|KEY:SPENASCHECKExternalCert,SPENASCHECKExternalCert,Complex Sentence,Medium,Multiple clauses,"NAS - External Certification where applicable independent checks have been carried out and the certifier has put the following on the copy documents:
• Personally sign and date the copy document,
• Provide full name, position, firm work for, location, membership number for professional body.
• Include adequate level of information to contact if req (e.g. phone number). 

Original signature, no copies of copies
Care certification wording in Guernsey and Gibraltar.
Care if certifier is in a different country to customer.","NAS - External Certification where applicable independent checks have been carried out and the certifier has put the following on the copy documents:
• Personally sign and date the copy document",,
ROW:2|KEY:SPEOBCHECKInternalCert,SPEOBCHECKInternalCert,Complex Sentence,Medium,Multiple clauses,"OBT - Certification requirement if  by RBSI employee:
Certifier must put the following on the copy documents:
• Personally sign and date the copy document,
• Printed their full name and job title.

Original signature, no copies of copies
Care certification wording in Guernsey and Gibraltar.
Care if certifier is in a different country to customer.","OBT - Certification requirement if  by RBSI employee:
Certifier must put the following on the copy documents:
• Personally sign and date the copy document",,
ROW:2|KEY:SPENASCHECKInternalCert,SPENASCHECKInternalCert,Complex Sentence,Medium,Multiple clauses,"NAS - Certification requirement if  by RBSI employee:
Certifier must put the following on the copy documents:
• Personally sign and date the copy document,
• Printed their full name and job title.

Original signature, no copies of copies
Care certification wording in Guernsey and Gibraltar.
Care if certifier is in a different country to customer.","NAS - Certification requirement if  by RBSI employee:
Certifier must put the following on the copy documents:
• Personally sign and date the copy document",,
ROW:2|KEY:SPENASCHECKAccountActivity,SPENASCHECKAccountActivity,Complex Sentence,Medium,Multiple clauses,"NAS - Account Activity. When this is passed by NAS, this is confirming that the description provided makes sense and relates to activity. Is it sufficient?",NAS - Account Activity. When this is passed by NAS,,
ROW:2|KEY:SPENASCHECKPurposeofAccount,SPENASCHECKPurposeofAccount,Complex Sentence,Medium,Multiple clauses,"NAS - Purpose of Account. When this is passed by NAS, this is confirming that the description provided makes sense and relates to activity. Is it sufficient?",NAS - Purpose of Account. When this is passed by NAS,,
ROW:2|KEY:SPEOBCHECKSourceFunds,SPEOBCHECKSourceFunds,Complex Sentence,Medium,Multiple clauses,"OBT - Source of Funds: Sufficient details of the SOFs into the account(s). Amount of initial credit, bank name, remitter name and how these funds were generated for each source. Ensure info is plausible and that this is documented. If cash, why the Customer is depositing that amount of cash and where the cash was sourced from should be recorded. If this is not obtained cash should not be accepted and consider raising a SAR",OBT - Source of Funds: Sufficient details of the SOFs into the account(s). Amount of initial credit,,
ROW:2|KEY:SPENASCHECKSourceFunds,SPENASCHECKSourceFunds,Complex Sentence,Medium,Multiple clauses,"NAS - Source of Funds: All initial deposit details, value and plausibility statement. If cash, why the Customer is depositing that amount of cash and where the cash was sourced from should be recorded. If this is not obtained cash should not be accepted and consider raising a SAR",NAS - Source of Funds: All initial deposit details,,
ROW:2|KEY:SPEOBCHECKISVNonPersonalSignOff,SPEOBCHECKISVNonPersonalSignOff,Complex Sentence,Medium,Multiple clauses,"OBT - ISV Non-Personal Sign Off - Where intermediary signatories appointed, check if base account is in operation, if so add base account number to front sheet or section 2b of the ISV signature update sheet.
CARE - where third parties signing alongside the Intermediary an ISV sheet will need to be used.",OBT - ISV Non-Personal Sign Off - Where intermediary signatories appointed,,
ROW:2|KEY:SPENASCHECKISVNonPersonalSignOff,SPENASCHECKISVNonPersonalSignOff,Complex Sentence,Medium,Multiple clauses,"NAS - ISV Non-Personal Sign Off - Where intermediary signatories appointed, check if base account is in operation, if so add base account number to front sheet or section 2b of the ISV signature update sheet.
CARE - where third parties signing alongside the Intermediary an ISV sheet will need to be used.",NAS - ISV Non-Personal Sign Off - Where intermediary signatories appointed,,
ROW:2|KEY:SPEOBCHECKTaxComboAndDomesticIndicators,SPEOBCHECKTaxComboAndDomesticIndicators,Complex Sentence,Medium,Multiple clauses,"OBT - FATCA/ CRS Combinations: All combinations checked? (i.e. reference table, US factors, if sponsored is SP in GIIN, is GIIN quoted but FI not ticked?)

FATCA/CRS - Confirm checks against Entity and KPs for any non-domestic indicators and request KYC where required",OBT - FATCA/ CRS Combinations: All combinations checked? (i.e. reference table,,
ROW:2|KEY:SPENASCHECKTaxComboAndDomesticIndicators,SPENASCHECKTaxComboAndDomesticIndicators,Complex Sentence,Medium,Multiple clauses,"NAS - FATCA/ CRS Combinations: All combinations checked? (i.e. reference table, US factors, if sponsored is SP in GIIN, is GIIN quoted but FI not ticked?)

FATCA/CRS - Confirm checks against Entity and KPs for any non-domestic indicators and request KYC where required",NAS - FATCA/ CRS Combinations: All combinations checked? (i.e. reference table,,
ROW:2|KEY:GENBankAccountJurisdiction,GENBankAccountJurisdiction,Jargon,Medium,Contains: jurisdiction,In which jurisdiction would you like to open this account?,In which country or region would you like to open this account?,,
ROW:2|KEY:If_you_are_applying_for_an_account_in_the_UK_but_the_entity_for_which_you_are_requesting_an_account_is_not_incorporated_in_the_UK_you_may_wish_to_contact_your_Relationship_Director_first_in_order_to_discuss_your_requirements,If_you_are_applying_for_an_account_in_the_UK_but_the_entity_for_which_you_are_requesting_an_account_is_not_incorporated_in_the_UK_you_may_wish_to_contact_your_Relationship_Director_first_in_order_to_discuss_your_requirements,Jargon,Medium,"Contains: incorporated, entity","If you are applying for an account in the UK but the entity for which you are requesting an account is not incorporated in the UK, you may wish to contact your Relationship Director first, in order to discuss your requirements","If you are applying for an account in the UK but the company for which you are requesting an account is not registered in the UK, you may wish to contact your Relationship Director first, in order to discuss your requirements",,
ROW:2|KEY:GENIndicativeAppetite3rdPartyAdministrator,GENIndicativeAppetite3rdPartyAdministrator,Jargon,Medium,"Contains: administrator, entity","Does the entity, for which you’re looking to open an account, have a 3rd party administrator?","Does the company, for which you’re looking to open an account, have a 3rd party admin company?",,
ROW:2|KEY:GENIndicativeAppetiteFundAdminDomicile,GENIndicativeAppetiteFundAdminDomicile,Jargon,Medium,"Contains: administrator, domiciled",Where is the 3rd party administrator domiciled?,Where is the 3rd party admin company based?,,
ROW:2|KEY:GENIndicativeAppetiteCountryRegistration,GENIndicativeAppetiteCountryRegistration,Jargon,Medium,Contains: entity,"In relation to the Incorporation of the entity requiring a bank account, can you please specify the Country of registration/formation/Establishment?","In relation to the Incorporation of the company requiring a bank account, can you please specify the Country of registration/formation/Establishment?",,
ROW:2|KEY:GENIndicativeAppetiteFundMngDom,GENIndicativeAppetiteFundMngDom,Jargon,Medium,Contains: domiciled,Where is the Fund Manager domiciled?,Where is the Fund Manager based?,,
ROW:2|KEY:GENIndicativeAppetiteOpeningInvestmentAdviser,GENIndicativeAppetiteOpeningInvestmentAdviser,Jargon,Medium,Contains: adviser,Is there an Investment Adviser?,Is there an Investment Adviser?,,
ROW:2|KEY:GENIndicativeAppetiteOpeningInvestmentAdviserLocation,GENIndicativeAppetiteOpeningInvestmentAdviserLocation,Jargon,Medium,Contains: adviser,What is the location of the Investment Adviser?,What is the location of the Investment Adviser?,,
ROW:2|KEY:GENIndicativeAppetitePepInvestors,GENIndicativeAppetitePepInvestors,Jargon,Medium,Contains: beneficial owner,"Are any of the fund's investors or Ultimate Beneficial Owners (UBOs), who have a holding of 10% or more in the fund, Politically Exposed Persons (PEP)?","Are any of the fund's investors or Ultimate actual owners (UBOs), who have a holding of 10% or more in the fund, Politically Exposed Persons (PEP)?",,
ROW:2|KEY:GENIndicativeAppetitePepinvestpersrelationship,GENIndicativeAppetitePepinvestpersrelationship,Jargon,Medium,Contains: beneficial owner,"Are any of the fund's investors or Ultimate Beneficial Owners (UBOs) one of a group of Politically Exposed Persons (PEPs) sharing a close personal relationship, who individually may have less than 10% ownership, but together have an accumulative ownership of 10% or more?","Are any of the fund's investors or Ultimate actual owners (UBOs) one of a group of Politically Exposed Persons (PEPs) sharing a close personal relationship, who individually may have less than 10% ownership, but together have an accumulative ownership of 10% or more?",,
ROW:2|KEY:GENIndicativeAppetiteRiskadversedetails,GENIndicativeAppetiteRiskadversedetails,Jargon,Medium,Contains: beneficial owner,Please provide details of any other risk factor and/or adverse information you are aware of in relation to the customer or its key principals and beneficial owners.,Please provide details of any other risk factor and/or adverse information you are aware of in relation to the customer or its key principals and actual owners.,,
ROW:2|KEY:GENUKIndicativeAppetite3rdPartyAdministrator,GENUKIndicativeAppetite3rdPartyAdministrator,Jargon,Medium,"Contains: administrator, entity","Does the entity, for which you’re looking to open an account, have a 3rd party administrator?","Does the company, for which you’re looking to open an account, have a 3rd party admin company?",,
ROW:2|KEY:GENUKIndicativeAppetiteFundAdminDomicile,GENUKIndicativeAppetiteFundAdminDomicile,Jargon,Medium,"Contains: administrator, domiciled",Where is the 3rd party administrator domiciled?,Where is the 3rd party admin company based?,,
ROW:2|KEY:GENUKIndicativeAppetiteCountryRegistration,GENUKIndicativeAppetiteCountryRegistration,Jargon,Medium,Contains: entity,"In relation to the Incorporation of the entity requiring a bank account, can you please specify the Country of registration/formation/Establishment?","In relation to the Incorporation of the company requiring a bank account, can you please specify the Country of registration/formation/Establishment?",,
